date,haircut_price,cardboard_pice
Dec-97,100.0,168.3
Jan-98,100.2,172.1
Feb-98,100.2,172.1
Mar-98,100.5,172.1
Apr-98,100.8,172.9
May-98,100.9,171.0
Jun-98,100.9,171.0
Jul-98,101.3,170.4
Aug-98,101.6,169.7
Sep-98,101.9,169.5
Oct-98,102.2,168.2
Nov-98,102.3,168.2
Dec-98,102.7,166.5
Jan-99,103.0,165.0
Feb-99,103.3,164.5
Mar-99,103.7,164.6
Apr-99,103.9,171.3
May-99,104.4,174.8
Jun-99,104.3,177.2
Jul-99,104.6,174.9
Aug-99,104.9,183.1
Sep-99,105.0,190.5
Oct-99,105.5,191.6
Nov-99,106.1,191.9
Dec-99,106.3,191.9
Jan-00,106.7,191.9
Feb-00,107.2,191.5
Mar-00,107.5,192.3
Apr-00,107.5,197.5
May-00,108.2,201.3
Jun-00,108.5,203.3
Jul-00,108.7,203.2
Aug-00,109.4,202.9
Sep-00,109.8,203.5
Oct-00,110.0,204.3
Nov-00,110.2,204.3
Dec-00,110.6,204.3
Jan-01,110.8,204.3
Feb-01,111.0,204.3
Mar-01,111.2,204.3
Apr-01,111.9,204.0
May-01,112.3,202.8
Jun-01,112.3,202.8
Jul-01,112.8,202.8
Aug-01,113.0,200.9
Sep-01,113.2,199.5
Oct-01,113.4,199.2
Nov-01,114.0,198.3
Dec-01,113.7,196.7
Jan-02,113.6,196.4
Feb-02,113.7,196.2
Mar-02,114.3,196.7
Apr-02,114.7,196.7
May-02,114.9,195.1
Jun-02,114.9,195.1
Jul-02,115.1,195.9
Aug-02,115.4,198.8
Sep-02,115.4,199.9
Oct-02,115.5,202.4
Nov-02,115.8,200.5
Dec-02,115.9,200.6
Jan-03,116.3,200.6
Feb-03,116.5,201.3
Mar-03,117.0,201.2
Apr-03,117.4,201.1
May-03,117.8,201.4
Jun-03,117.6,201.1
Jul-03,117.9,200.9
Aug-03,118.3,200.4
Sep-03,119.2,200.3
Oct-03,119.4,198.7
Nov-03,118.5,198.4
Dec-03,118.6,198.5
Jan-04,118.7,198.5
Feb-04,119.1,197.6
Mar-04,119.4,197.1
Apr-04,119.6,195.8
May-04,119.9,200.3
Jun-04,120.2,207.0
Jul-04,120.5,207.6
Aug-04,121.4,215.7
Sep-04,121.5,218.8
Oct-04,121.6,218.7
Nov-04,122.1,218.7
Dec-04,122.8,219.0
Jan-05,123.2,216.9
Feb-05,123.8,216.9
Mar-05,124.0,216.8
Apr-05,124.1,216.8
May-05,123.8,217.9
Jun-05,123.9,217.7
Jul-05,124.4,216.8
Aug-05,124.5,216.4
Sep-05,124.8,213.1
Oct-05,124.9,212.9
Nov-05,125.2,215.0
Dec-05,126.0,217.4
Jan-06,125.9,217.3
Feb-06,126.9,216.6
Mar-06,127.2,227.0
Apr-06,127.2,222.9
May-06,127.3,224.3
Jun-06,127.6,232.3
Jul-06,127.9,233.5
Aug-06,128.2,236.9
Sep-06,128.5,238.9
Oct-06,129.2,239.3
Nov-06,129.5,239.3
Dec-06,129.6,250.4
Jan-07,130.6,250.4
Feb-07,130.95,249.2
Mar-07,131.24,249.2
Apr-07,131.42,249.2
May-07,131.93,249.2
Jun-07,131.71,248.3
Jul-07,132.23,248.3
Aug-07,132.42,248.0
Sep-07,132.77,248.4
Oct-07,132.95,253.0
Nov-07,133.38,255.6
Dec-07,134.03,255.6
Jan-08,134.2,255.7
Feb-08,134.75,255.8
Mar-08,135.92,255.8
Apr-08,135.94,255.8
May-08,136.46,254.8
Jun-08,136.38,254.8
Jul-08,136.51,254.8
Aug-08,136.77,263.7
Sep-08,137.05,275.6
Oct-08,137.63,277.4
Nov-08,138.02,277.4
Dec-08,138.07,276.4
Jan-09,137.74,276.2
Feb-09,137.83,273.4
Mar-09,139.11,270.6
Apr-09,139.06,268.7
May-09,138.88,266.8
Jun-09,138.86,266.3
Jul-09,138.71,258.5
Aug-09,138.86,259.5
Sep-09,139.29,257.0
Oct-09,139.4,257.0
Nov-09,139.34,258.7
Dec-09,139.33,258.2
Jan-10,139.5,257.6
Feb-10,139.18,258.6
Mar-10,139.38,264.9
Apr-10,140.12,269.3
May-10,140.35,273.1
Jun-10,140.48,276.5
Jul-10,140.65,279.1
Aug-10,140.55,285.0
Sep-10,140.54,287.7
Oct-10,139.94,287.7
Nov-10,140.11,287.7
Dec-10,140.44,288.1
Jan-11,140.3,288.7
Feb-11,140.45,288.2
Mar-11,140.36,287.7
Apr-11,140.57,287.6
May-11,140.65,287.6
Jun-11,140.71,286.3
Jul-11,140.62,292.2
Aug-11,140.81,286.4
Sep-11,140.93,286.4
Oct-11,141.09,286.6
Nov-11,141.69,287.5
Dec-11,141.74,287.4
Jan-12,141.58,287.4
Feb-12,142.11,287.3
Mar-12,142.35,287.3
Apr-12,142.62,287.3
May-12,142.75,287.3
Jun-12,142.77,287.3
Jul-12,142.93,287.3
Aug-12,143.3,284.2
Sep-12,143.34,284.2
Oct-12,143.45,290.2
Nov-12,143.53,298.9
Dec-12,144.28,304.0
Jan-13,144.64,306.3
Feb-13,144.79,308.9
Mar-13,145.05,303.4
Apr-13,145.37,304.1
May-13,145.38,310.3
Jun-13,145.33,314.8
Jul-13,145.89,320.5
Aug-13,146.28,321.0
Sep-13,146.34,325.3
Oct-13,145.96,326.3
Nov-13,146.51,326.3
Dec-13,146.87,326.3
Jan-14,146.85,326.3
Feb-14,146.87,326.3
Mar-14,147.09,326.2
Apr-14,147.07,327.4
May-14,147.42,327.8
Jun-14,147.53,327.7
Jul-14,147.67,327.7
Aug-14,147.83,327.6
Sep-14,147.78,327.5
Oct-14,148.33,326.5
Nov-14,148.4,326.5
Dec-14,149.09,326.4
Jan-15,148.97,321.9
Feb-15,147.95,321.8
Mar-15,148.88,321.7
Apr-15,149.02,322.4
May-15,149.37,322.3
Jun-15,151.72,322.3
Jul-15,151.87,322.2
Aug-15,151.81,322.2
Sep-15,152.22,322.1
Oct-15,152.34,322.0
Nov-15,152.96,321.8
Dec-15,152.67,321.7
Jan-16,153.05,321.7
Feb-16,153.22,321.6
Mar-16,153.53,321.6
Apr-16,153.8,321.5
May-16,154.2,321.4
Jun-16,154.2,321.4
Jul-16,154.24,321.4
Aug-16,154.62,326.9
Sep-16,154.81,326.9
Oct-16,154.91,326.9
Nov-16,155.51,327.3
Dec-16,155.61,338.3
Jan-17,155.98,340.9
Feb-17,156.07,340.9
Mar-17,156.5,340.9
Apr-17,156.6,340.9
May-17,156.56,340.0
Jun-17,156.51,350.3
Jul-17,157.14,350.8
Aug-17,157.89,351.1
Sep-17,157.72,351.1
Oct-17,157.87,348.9
Nov-17,157.64,349.0
Dec-17,157.99,347.6
Jan-18,158.74,347.6
Feb-18,158.99,347.3
Mar-18,159.52,347.3
Apr-18,160.21,351.3
May-18,160.53,357.0
Jun-18,161.78,362.0
Jul-18,161.87,362.3
Aug-18,161.73,362.5
Sep-18,161.87,363.4
Oct-18,162.77,363.4
Nov-18,162.93,361.8
Dec-18,163.66,361.8
Jan-19,163.86,361.5
Feb-19,164.32,361.5
Mar-19,164.54,361.8
Apr-19,164.41,360.8
May-19,164.4,360.8
Jun-19,164.71,360.8
Jul-19,165.53,360.8
Aug-19,166.2,363.4
Sep-19,166.36,362.8
Oct-19,166.83,363.0
Nov-19,167.6,363.0
Dec-19,168.08,362.9
Jan-20,169.22,359.9
Feb-20,169.76,359.7
Mar-20,169.9,359.1
Apr-20,169.9,358.9
May-20,170.17,358.9
Jun-20,172.08,358.9
Jul-20,174.74,358.9
Aug-20,174.26,358.9
Sep-20,174.75,358.9
Oct-20,175.46,358.4
